episode,win_rate,avg_turns,loss,epsilon,total_steps,time_elapsed
100,0.9,4.77,0.0,0.990937,477,2.6137800216674805
200,0.89,4.76,0.0,0.981893,953,5.23248291015625
300,0.89,4.68,0.0,0.973001,1421,7.793087959289551
400,0.77,5.05,0.0,0.963406,1926,10.628026962280273
500,0.86,5.06,0.0,0.953792,2432,13.482288837432861
600,0.86,4.8,0.0,0.944672,2912,16.165432929992676
700,0.84,4.88,0.0,0.9354,3400,18.89427399635315
800,0.83,4.78,0.0,0.926318,3878,21.62750005722046
900,0.84,4.74,0.0,0.917312,4352,24.276556968688965
1000,0.86,5.05,0.0,0.907717,4857,27.08372688293457
1100,0.93,4.71,0.11689222067957972,0.898768,5328,31.360238790512085
1200,0.82,5.03,0.07999190917238592,0.889211,5831,36.933151960372925
1300,0.86,4.91,0.04760796470567584,0.879882,6322,42.29370975494385
1400,0.84,4.89,0.029010457578115167,0.870591,6811,47.56363296508789
1500,0.87,4.96,0.017660261779092253,0.861167,7307,52.8736047744751
1600,0.87,4.87,0.009517544460250065,0.8519140000000001,7794,58.39553093910217
1700,0.8,5.04,0.012259067909326404,0.842338,8298,64.04144096374512
1800,0.85,4.87,0.008903172950958833,0.833085,8785,69.26057887077332
1900,0.86,4.79,0.011588819103781133,0.823984,9264,74.34824705123901
2000,0.89,4.98,0.010632931513828225,0.814522,9762,79.91223788261414
2100,0.9,4.73,0.009156445949338376,0.805535,10235,84.97017812728882
2200,0.83,5.11,0.00806631171843037,0.795826,10746,90.5314130783081
2300,0.81,4.8,0.008450191095471382,0.786706,11226,95.69682002067566
2400,0.8,4.89,0.008614906452130526,0.777415,11715,100.93088793754578
2500,0.89,4.96,0.00818363735161256,0.7679910000000001,12211,106.23062086105347
2600,0.86,4.83,0.007936916877515614,0.758814,12694,111.40029692649841
2700,0.86,4.87,0.008174397287657485,0.749561,13181,116.6190619468689
2800,0.85,4.85,0.008797729660291225,0.740346,13666,121.87637686729431
2900,0.82,4.92,0.008879858995787799,0.730998,14158,127.43637776374817
3000,0.81,5.0,0.008703531512292102,0.721498,14658,133.08033299446106
3100,0.82,4.9,0.009708574616815895,0.712188,15148,138.332368850708
3200,0.82,4.99,0.010477298335172237,0.702707,15647,143.66170072555542
3300,0.82,5.02,0.00902566880104132,0.693169,16149,149.06045007705688
3400,0.91,4.81,0.009534701621159911,0.68403,16630,154.25107312202454
3500,0.87,4.89,0.009186336746206508,0.674739,17119,159.48937702178955
3600,0.85,5.02,0.008570925642270594,0.6652009999999999,17621,164.88616800308228
3700,0.86,4.87,0.009373740094597452,0.655948,18108,170.14555382728577
3800,0.91,4.84,0.008864854171406478,0.646752,18592,175.3265769481659
3900,0.85,4.87,0.009610906755551697,0.637499,19079,180.53960704803467
4000,0.88,4.94,0.006861383195500821,0.628113,19573,185.8532748222351
4100,0.9,4.98,0.007467271495843306,0.6186510000000001,20071,191.11121678352356
4200,0.76,4.96,0.009221906447783113,0.609227,20567,196.48347806930542
4300,0.86,4.92,0.0083712258876767,0.599879,21059,201.78111004829407
4400,0.89,4.82,0.008144346410408615,0.590721,21541,206.94474291801453
4500,0.88,5.11,0.007847422750783152,0.5810120000000001,22052,212.4644329547882
4600,0.83,4.91,0.007495703987078741,0.571683,22543,217.68396377563477
4700,0.82,4.98,0.008683663193369284,0.562221,23041,223.02527284622192
4800,0.85,4.99,0.0069663058867445215,0.55274,23540,228.47037291526794
4900,0.83,5.03,0.0077274531335569914,0.543183,24043,233.91846895217896
5000,0.81,5.04,0.009108084156177938,0.533607,24547,239.36773300170898
5100,0.78,5.08,0.007253878862829879,0.523955,25055,244.72684693336487
5200,0.89,4.91,0.007540212646854343,0.514626,25546,249.9520969390869
5300,0.82,4.98,0.008946458252612501,0.505164,26044,255.21438908576965
5400,0.81,4.94,0.009246213097358123,0.49577800000000005,26538,260.50143790245056
5500,0.77,5.03,0.009592248417902738,0.486221,27041,265.75835490226746
5600,0.83,5.0,0.010251010546926408,0.47672100000000006,27541,271.0655150413513
5700,0.89,5.0,0.008676678818883374,0.4672210000000001,28041,276.3670349121094
5800,0.79,4.95,0.008914999198168516,0.4578160000000001,28536,281.5511939525604
5900,0.8,4.98,0.009965065316064283,0.44835400000000003,29034,286.83974981307983
6000,0.82,4.93,0.007818439682014287,0.438987,29527,291.95976400375366
6100,0.74,5.19,0.007918744244379923,0.429126,30046,297.4807949066162
6200,0.82,4.98,0.007400199995026923,0.41966400000000004,30544,302.8450708389282
6300,0.81,5.02,0.008574489433376584,0.4101260000000001,31046,308.1718318462372
6400,0.83,4.98,0.00777403806336224,0.400664,31544,313.4790720939636
6500,0.87,4.97,0.009473495883867145,0.39122100000000004,32041,318.724760055542
6600,0.82,5.1,0.008966839942149817,0.38153100000000006,32551,324.1375308036804
6700,0.83,4.95,0.008195556545397267,0.37212600000000007,33046,329.24593687057495
6800,0.79,5.13,0.010491514862515032,0.362379,33559,334.602637052536
6900,0.83,4.95,0.010420587641419843,0.352974,34054,339.8454909324646
7000,0.84,4.87,0.010679280114127323,0.34372100000000005,34541,344.9748637676239
7100,0.86,4.79,0.009548661769949831,0.33462000000000003,35020,350.03473591804504
7200,0.87,5.07,0.012295921264449134,0.324987,35527,355.2935769557953
7300,0.79,4.92,0.01074124227045104,0.3156390000000001,36019,360.57901191711426
7400,0.8,4.88,0.0067631117714336145,0.30636699999999994,36507,365.7903380393982
7500,0.8,4.93,0.008419365457957611,0.29700000000000004,37000,370.94746708869934
7600,0.86,5.04,0.011474375592079013,0.2874240000000001,37504,376.28718996047974
7700,0.88,4.98,0.009481089627952315,0.27796199999999993,38002,381.56448006629944
7800,0.83,4.94,0.009484886131249369,0.26857600000000004,38496,386.7957549095154
7900,0.86,4.87,0.008386721813585608,0.2593230000000001,38983,391.931116104126
8000,0.83,4.94,0.009540984965860843,0.24993699999999996,39477,397.1605408191681
8100,0.88,4.93,0.01088621073984541,0.24056999999999995,39970,402.35242986679077
8200,0.83,5.05,0.009014530158601701,0.23097500000000004,40475,407.61856985092163
8300,0.89,4.86,0.008552676546969451,0.22174100000000008,40961,412.6472508907318
8400,0.82,4.93,0.007171557084657252,0.21237400000000006,41454,417.9084198474884
8500,0.83,4.72,0.006872153650037944,0.2034060000000001,41926,422.80868792533875
8600,0.84,4.98,0.008589095994830131,0.19394400000000012,42424,428.07783603668213
8700,0.79,4.99,0.010306234647287056,0.18446300000000004,42923,433.33838272094727
8800,0.83,4.93,0.009881324886810034,0.17509600000000003,43416,438.5352039337158
8900,0.88,4.94,0.009557413932052441,0.16571000000000002,43910,443.6781177520752
9000,0.78,5.11,0.009005896573653445,0.15600100000000006,44421,449.0165729522705
9100,0.87,5.02,0.007506787822348997,0.146463,44923,454.2625479698181
9200,0.84,5.09,0.011291184403235092,0.13679200000000002,45432,459.53579092025757
9300,0.86,4.87,0.0102250367985107,0.12753900000000007,45919,464.5617079734802
9400,0.83,5.11,0.010511871919734404,0.11782999999999999,46430,470.06849193573
9500,0.86,5.08,0.010721451556310057,0.108178,46938,475.4078359603882
9600,0.84,5.0,0.012832886937540025,0.09867800000000004,47438,480.68866086006165
9700,0.84,5.0,0.012820569520117715,0.08917799999999998,47938,485.9137370586395
9800,0.88,4.91,0.010019263105932623,0.07984900000000006,48429,490.96785593032837
9900,0.77,5.03,0.009593710377812386,0.07029200000000002,48932,496.12800884246826
10000,0.8,5.11,0.008308587493374944,0.060583000000000053,49443,501.6615149974823
